# NEST version: 3.8.0
# RecordingBackendASCII version: 2
sender	time_ms	V_m
424	24001.000	-70.000
424	24002.000	-70.000
424	24003.000	-70.000
424	24004.000	-70.000
424	24005.000	-70.000
424	24006.000	-70.000
424	24007.000	-70.000
424	24008.000	-70.000
424	24009.000	-70.000
424	24010.000	-70.000
424	24011.000	-70.000
424	24012.000	-70.000
424	24013.000	-70.000
424	24014.000	-70.000
424	24015.000	-70.000
424	24016.000	-70.000
424	24017.000	-70.000
424	24018.000	-70.000
424	24019.000	-70.000
424	24020.000	-70.000
424	24021.000	-70.000
424	24022.000	-70.000
424	24023.000	-70.000
424	24024.000	-70.000
424	24025.000	-70.000
424	24026.000	-70.000
424	24027.000	-70.000
424	24028.000	-70.000
424	24029.000	-70.000
424	24030.000	-70.000
424	24031.000	-70.000
424	24032.000	-70.000
424	24033.000	-70.000
424	24034.000	-70.000
424	24035.000	-70.000
424	24036.000	-70.000
424	24037.000	-70.000
424	24038.000	-70.000
424	24039.000	-70.000
424	24040.000	-70.000
424	24041.000	-70.000
424	24042.000	-70.000
424	24043.000	-70.000
424	24044.000	-70.000
424	24045.000	-70.000
424	24046.000	-70.000
424	24047.000	-70.000
424	24048.000	-70.000
424	24049.000	-70.000
424	24050.000	-70.000
424	24051.000	-70.000
424	24052.000	-70.000
424	24053.000	-70.000
424	24054.000	-70.000
424	24055.000	-70.000
424	24056.000	-70.000
424	24057.000	-70.000
424	24058.000	-70.000
424	24059.000	-70.000
424	24060.000	-70.000
424	24061.000	-69.979
424	24062.000	-69.915
424	24063.000	-69.848
424	24064.000	-69.796
424	24065.000	-69.762
424	24066.000	-69.745
424	24067.000	-69.740
424	24068.000	-69.744
424	24069.000	-69.755
424	24070.000	-69.768
424	24071.000	-69.784
424	24072.000	-69.800
424	24073.000	-69.816
424	24074.000	-69.832
424	24075.000	-69.847
424	24076.000	-69.861
424	24077.000	-69.873
424	24078.000	-69.885
424	24079.000	-69.896
424	24080.000	-69.906
424	24081.000	-69.914
424	24082.000	-69.923
424	24083.000	-69.930
424	24084.000	-69.937
424	24085.000	-69.943
424	24086.000	-69.948
424	24087.000	-69.953
424	24088.000	-69.957
424	24089.000	-69.961
424	24090.000	-69.965
424	24091.000	-69.968
424	24092.000	-69.971
424	24093.000	-69.974
424	24094.000	-69.977
424	24095.000	-69.979
424	24096.000	-69.981
424	24097.000	-69.983
424	24098.000	-69.984
424	24099.000	-69.986
424	24100.000	-69.987
424	24101.000	-69.988
424	24102.000	-69.989
424	24103.000	-69.990
424	24104.000	-69.991
424	24105.000	-69.992
424	24106.000	-69.993
424	24107.000	-69.994
424	24108.000	-69.994
424	24109.000	-69.995
424	24110.000	-69.995
424	24111.000	-69.996
424	24112.000	-69.996
424	24113.000	-69.997
424	24114.000	-69.997
424	24115.000	-69.997
424	24116.000	-69.997
424	24117.000	-69.998
424	24118.000	-69.998
424	24119.000	-69.998
424	24120.000	-69.998
424	24121.000	-69.998
424	24122.000	-69.991
424	24123.000	-69.934
424	24124.000	-69.865
424	24125.000	-69.808
424	24126.000	-69.769
424	24127.000	-69.747
424	24128.000	-69.740
424	24129.000	-69.742
424	24130.000	-69.750
424	24131.000	-69.763
424	24132.000	-69.779
424	24133.000	-69.795
424	24134.000	-69.811
424	24135.000	-69.827
424	24136.000	-69.842
424	24137.000	-69.856
424	24138.000	-69.869
424	24139.000	-69.881
424	24140.000	-69.892
424	24141.000	-69.902
424	24142.000	-69.912
424	24143.000	-69.920
424	24144.000	-69.928
424	24145.000	-69.934
424	24146.000	-69.941
424	24147.000	-69.946
424	24148.000	-69.951
424	24149.000	-69.956
424	24150.000	-69.960
424	24151.000	-69.964
424	24152.000	-69.967
424	24153.000	-69.971
424	24154.000	-69.973
424	24155.000	-69.976
424	24156.000	-69.978
424	24157.000	-69.980
424	24158.000	-69.982
424	24159.000	-69.984
424	24160.000	-69.985
424	24161.000	-69.987
424	24162.000	-69.988
424	24163.000	-69.989
424	24164.000	-69.990
424	24165.000	-69.991
424	24166.000	-69.992
424	24167.000	-69.993
424	24168.000	-69.993
424	24169.000	-69.994
424	24170.000	-69.995
424	24171.000	-69.995
424	24172.000	-69.996
424	24173.000	-69.996
424	24174.000	-69.996
424	24175.000	-69.997
424	24176.000	-69.997
424	24177.000	-69.997
424	24178.000	-69.998
424	24179.000	-69.998
424	24180.000	-69.998
424	24181.000	-69.998
424	24182.000	-69.998
424	24183.000	-69.998
424	24184.000	-69.954
424	24185.000	-69.886
424	24186.000	-69.824
424	24187.000	-69.779
424	24188.000	-69.752
424	24189.000	-69.741
424	24190.000	-69.740
424	24191.000	-69.747
424	24192.000	-69.759
424	24193.000	-69.774
424	24194.000	-69.790
424	24195.000	-69.806
424	24196.000	-69.822
424	24197.000	-69.838
424	24198.000	-69.852
424	24199.000	-69.865
424	24200.000	-69.878
424	24201.000	-69.889
424	24202.000	-69.900
